state,county,latitude,longitude
SC,Georgetown,33.439327,-79.367525
SC,Horry,33.939968,-79.041027
SC,Marlboro,34.598755,-79.707693
SC,Marion,34.026958,-79.353715
SC,Dillon,34.422187,-79.341359
SC,Greenville,34.848567,-82.402871
SC,Abbeville,34.215714,-82.446307
SC,Anderson,34.492718,-82.638297
SC,Pickens,34.744649,-82.797267
SC,Oconee,34.542683,-83.029707
SC,Greenwood,34.114209,-82.128301
SC,York,34.992612,-81.178712
SC,Allendale,32.990158,-81.287561
SC,Barnwell,33.249806,-81.349595
SC,Mccormick,33.623057,-82.132655
SC,Edgefield,33.767808,-81.987524
SC,Beaufort,32.424353,-80.565343
SC,Hampton,32.885698,-81.206373
SC,Jasper,32.488929,-80.989142
GA,Dekalb,33.771704,-84.23937
GA,Gwinnett,33.960353,-84.037859
GA,Fulton,34.112373,-84.30205
GA,Cobb,33.912473,-84.557181
GA,Barrow,34.019109,-83.826094
GA,Rockdale,33.719178,-84.002061
GA,Newton,33.529341,-83.849622
GA,Walton,33.717989,-83.801451
GA,Forsyth,34.193041,-84.092588
GA,Jasper,33.431362,-83.790756
GA,Bartow,34.296339,-84.909216
GA,Polk,34.053167,-85.079865
GA,Floyd,34.479253,-85.149208
GA,Cherokee,34.30116,-84.442937
GA,Carroll,33.587706,-85.123883
GA,Haralson,33.767997,-85.172928
GA,Douglas,33.765457,-84.646946
GA,Paulding,33.935396,-84.866654
GA,Gordon,34.462493,-84.743027
GA,Pickens,34.469042,-84.428243
GA,Lamar,33.07577,-84.145706
GA,Fayette,33.30009,-84.453196
GA,Pike,33.104729,-84.456917
GA,Spalding,33.278205,-84.288803
GA,Butts,33.237156,-83.898277
GA,Heard,33.278005,-85.134045
GA,Meriwether,33.06913,-84.613189
GA,Coweta,33.275619,-84.741266
GA,Henry,33.408112,-84.273764
GA,Troup,33.144151,-84.960566
GA,Clayton,33.518505,-84.337523
GA,Upson,32.965021,-84.219349
GA,Emanuel,32.569871,-82.346181
GA,Montgomery,32.17966,-82.516557
GA,Wheeler,32.143021,-82.82677
GA,Jefferson,32.88914,-82.466644
GA,Evans,32.163392,-81.87191
GA,Bulloch,32.352307,-81.6571
GA,Tattnall,32.10597,-82.03389
GA,Screven,32.767634,-81.629062
GA,Burke,33.05387,-81.684489
GA,Toombs,32.129147,-82.330546
GA,Candler,32.39938,-82.048201
GA,Jenkins,32.779376,-81.973904
GA,Laurens,32.50631,-82.713743
GA,Treutlen,32.383145,-82.557135
GA,Hall,34.334398,-83.837912
GA,Habersham,34.50429,-83.594758
GA,Banks,34.393713,-83.473886
GA,Union,34.867512,-83.967636
GA,Fannin,34.831246,-84.331339
GA,Hart,34.383987,-83.03321
GA,Jackson,34.109873,-83.685149
GA,Franklin,34.355933,-83.152947
GA,Gilmer,34.73249,-84.425035
GA,Rabun,34.886868,-83.375358
